画面名 (JP),API List,Business Flow,Giải thích tính năng,Menu,Remark ,Screen (VI),Screen ID,Status,Sub menu,System,Thông tin hiển thị trên màn hình,URL,Wireframe list,サブメニュー,システム,メニュー,機能説明,画面表示情報
派遣照会一覧,MO-REQ-001-API-01-Export Request List (https://www.notion.so/MO-REQ-001-API-01-Export-Request-List-36bf02c407dd80b9af2cfa88c3b4bda0?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)","Danh sách staffing request từ SAKI, hỗ trợ search/filter/export/detail",Request Management,,Request List,MO-REQ-001,Not started,,MOTO Portal,"Request No, client name, deadline, request status, required headcount",/moto/requests,Untitled (https://www.notion.so/374f02c407dd801f9eb0f6b80a1be9df?pvs=21),,派遣元ポータル,派遣照会,派遣先から受信した派遣照会一覧を表示し、検索・絞込・詳細参照・CSV出力を行う,派遣照会番号、取引先名、回答期限、ステータス、必要人数
派遣照会詳細,"MO-REQ-002-API-02-Get Request Detail (https://www.notion.so/MO-REQ-002-API-02-Get-Request-Detail-36bf02c407dd8009ac1ffd9d517da895?pvs=21), MO-REQ-002-API-01-Get Request List (https://www.notion.so/MO-REQ-002-API-01-Get-Request-List-374f02c407dd8074939ace24393f17c6?pvs=21)","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",Xem chi tiết staffing request và requirement,Request Management,,Request Detail,MO-REQ-002,Not started,,MOTO Portal,"Job description, required skill, workplace, shift, contract period",/moto/requests/:id,,,派遣元ポータル,派遣照会,派遣照会詳細および募集条件を表示する,業務内容、必要スキル、就業場所、シフト、契約期間
見積回答,MO-REQ-003-API-01-Submit/Process Estimate Response (https://www.notion.so/MO-REQ-003-API-01-Submit-Process-Estimate-Response-36bf02c407dd8066ad58d547cb4c56b5?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",Tạo và submit estimate response,Request Management,,Estimate Response,MO-REQ-003,Not started,,MOTO Portal,"Estimate amount, contract condition, response comment, submit status",/moto/requests/:id/estimate,Untitled (https://www.notion.so/374f02c407dd80889f55dca7d91ad396?pvs=21),,派遣元ポータル,派遣照会,見積回答を登録・提出する,見積金額、契約条件、コメント、提出状況
派遣照会回答,MO-REQ-004-API-01-Submit/Process Staffing Response (https://www.notion.so/MO-REQ-004-API-01-Submit-Process-Staffing-Response-36bf02c407dd80569a08eea8e1ff7e81?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",Submit staff cho staffing request,Request Management,,Staffing Response,MO-REQ-004,Not started,,MOTO Portal,"Assigned staff, response status, response comment",/moto/requests/:id/response,Untitled (https://www.notion.so/374f02c407dd80889f55dca7d91ad396?pvs=21),,派遣元ポータル,派遣照会,派遣照会へスタッフ回答を行う,割当スタッフ、回答状態、コメント
契約一覧,MO-CON-001-API-01-Get Contract List (https://www.notion.so/MO-CON-001-API-01-Get-Contract-List-36bf02c407dd8039bbbcefab20bdc59c?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",Danh sách contract,Contract Management,,Contract List,MO-CON-001,Not started,,MOTO Portal,"Contract No, client, staff, contract period, status",/moto/contracts,Untitled (https://www.notion.so/374f02c407dd80939a74efa9880c590a?pvs=21),,派遣元ポータル,契約管理,契約一覧を表示する,契約番号、取引先、スタッフ、契約期間、ステータス
契約詳細・編集,"MO-CON-002-API-01-Get Contract Detail・Edit (https://www.notion.so/MO-CON-002-API-01-Get-Contract-Detail-Edit-36bf02c407dd8097b3efea6818f0952d?pvs=21), MO-CON-002-API-02-Update Contract Detail・Edit (https://www.notion.so/MO-CON-002-API-02-Update-Contract-Detail-Edit-36bf02c407dd80a4b84ef4e9387c4a25?pvs=21)","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",Xem chi tiết contract,Contract Management,,Contract Detail・Edit,MO-CON-002,Not started,,MOTO Portal,"Billing info, attendance summary, approval history",/moto/contracts/:id,Untitled (https://www.notion.so/374f02c407dd8038b9bcefb76bef5d37?pvs=21),,派遣元ポータル,契約管理,契約詳細を表示する,請求情報、勤怠集計、承認履歴
契約作成,MO-CON-003-API-01-Create Create Contract (https://www.notion.so/MO-CON-003-API-01-Create-Create-Contract-36bf02c407dd800faff6f8b06b81bc69?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Tạo contract mới,Contract Management,,Create Contract,MO-CON-003,Not started,,MOTO Portal,"Staff info, client info, unit price, OT condition",/moto/contracts/create,Untitled (https://www.notion.so/374f02c407dd80c980b0cc98bba2ea5b?pvs=21),,派遣元ポータル,契約管理,新規契約を作成する,スタッフ情報、取引先情報、単価、残業条件
派遣照会から契約作成,MO-CON-004-API-01-Create Create Contract From Request (https://www.notion.so/MO-CON-004-API-01-Create-Create-Contract-From-Request-36bf02c407dd80278663e9f30a5a868c?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Tạo contract từ staffing request,Contract Management,,Create Contract From Request,MO-CON-004,Not started,,MOTO Portal,"Request info, selected staff, contract draft info",/moto/contracts/create-from-request/:id,,,派遣元ポータル,契約管理,派遣照会回答から契約を作成する,派遣照会情報、選択スタッフ、契約下書き情報
作成中契約一覧,MO-CON-005-API-01-Get Draft Contract List (https://www.notion.so/MO-CON-005-API-01-Get-Draft-Contract-List-36bf02c407dd805a9af5c5c65f890230?pvs=21),"Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",Danh sách contract draft,Contract Management,,Draft Contract List,MO-CON-005,Not started,,MOTO Portal,"Draft contract, updated date, draft owner",/moto/contracts/drafts,,,派遣元ポータル,契約管理,下書き契約一覧を表示する,下書き契約、更新日、作成者
契約延長,MO-CON-006-API-01-Get Contract Extension (https://www.notion.so/MO-CON-006-API-01-Get-Contract-Extension-36bf02c407dd80068ca3c94ab87835e6?pvs=21),,Gia hạn contract,Contract Management,,Contract Extension,MO-CON-006,Not started,,MOTO Portal,"Extended period, updated unit price, extension status",/moto/contracts/:id/extend,,,派遣元ポータル,契約管理,契約延長処理を行う,延長期間、更新単価、延長状態
