画面名 (JP),機能説明,Status,System,システム,Screen ID,Screen (VI),Giải thích tính năng,URL,画面表示情報,Thông tin hiển thị trên màn hình,Business Flow,Sub menu,サブメニュー,API List
勤怠TOP,勤怠管理ダッシュボードを表示する,Not started,MOTO Portal,派遣元ポータル,MO-ATT-001,Attendance Dashboard,Dashboard attendance tổng hợp,/moto/attendance,未申請件数、残業アラート、月間労働時間,"Pending attendance, OT alert, monthly working hours",,,,MO-ATT-001-API-01-Get Attendance Dashboard (https://www.notion.so/MO-ATT-001-API-01-Get-Attendance-Dashboard-36bf02c407dd8002b5a3c3878e572d78?pvs=21)
勤怠検索,勤怠情報を検索する,Not started,MOTO Portal,派遣元ポータル,MO-ATT-002,Attendance Search,Search attendance,/moto/attendance/search,スタッフ、勤務日、出退勤時間、承認状態,"Staff, work date, check-in/out, approval status",,,,MO-ATT-002-API-01-Get Attendance Search (https://www.notion.so/MO-ATT-002-API-01-Get-Attendance-Search-36bf02c407dd80c285aee6d6ac56d63a?pvs=21)
勤怠詳細,勤怠詳細を表示する,Not started,MOTO Portal,派遣元ポータル,MO-ATT-003,Attendance Detail,Xem chi tiết attendance,/moto/attendance/:id,休憩時間、残業時間、備考、承認履歴,"Break time, overtime, notes, approval history",,,,MO-ATT-003-API-01-Get Attendance Detail (https://www.notion.so/MO-ATT-003-API-01-Get-Attendance-Detail-36bf02c407dd80289fc3da57bde84361?pvs=21)
代理申請,代理勤怠申請を行う,Not started,MOTO Portal,派遣元ポータル,MO-ATT-004,Proxy Attendance,Nhập attendance thay staff,/moto/attendance/proxy,対象スタッフ、勤務日、代理入力者,"Target staff, work date, proxy user",,,,MO-ATT-004-API-01-Submit/Process Proxy Attendance (https://www.notion.so/MO-ATT-004-API-01-Submit-Process-Proxy-Attendance-36bf02c407dd809cbed4cb8646af6880?pvs=21)
未申請一覧,未申請勤怠一覧を表示する,Not started,MOTO Portal,派遣元ポータル,MO-ATT-005,Pending Attendance List,Danh sách attendance chưa submit,/moto/attendance/pending,未申請スタッフ、未入力日、通知状態,"Missing attendance staff, missing date, reminder status",,,,MO-ATT-005-API-01-Submit/Process Pending Attendance List (https://www.notion.so/MO-ATT-005-API-01-Submit-Process-Pending-Attendance-List-36bf02c407dd8059bec1ce77058fe878?pvs=21)
未承認一覧,未承認勤怠一覧を表示する,Not started,MOTO Portal,派遣元ポータル,MO-ATT-006,Pending Approval List,Danh sách attendance chưa approve,/moto/attendance/approval-pending,承認状態、承認者、申請日時,"Approval status, approver, submit time",,,,MO-ATT-006-API-01-Submit/Process Pending Approval List (https://www.notion.so/MO-ATT-006-API-01-Submit-Process-Pending-Approval-List-36bf02c407dd806f8272c082d18ff1d5?pvs=21)
勤怠/集計DL,"勤怠集計DL, 勤怠DL",Not started,MOTO Portal,派遣元ポータル,MO-ATT-007,Attendance Export,"Export attendance, Export monthly summary",/moto/attendance/download,,,,,,MO-ATT-007-API-01-Export Attendance Export (https://www.notion.so/MO-ATT-007-API-01-Export-Attendance-Export-36bf02c407dd80aca2c4d918547d9dbd?pvs=21)
代理申請（締め申請×複数,複数人の締め申請を行う,Not started,MOTO Portal,派遣元ポータル,MO-ATT-009,Proxy application (multiple applications),"Chức năng upload , đăng ký giờ làm nhiều",/moto/attendance/upload,,,,,,
法定休日設定,法定休日ルールおよび勤怠・請求連携設定を管理する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-010,Legal Holiday Setting,Quản lý luật nghỉ pháp định và holiday rule áp dụng cho attendance/billing.,/moto/attendance/legal-holidays,休日区分、適用開始日、対象組織、計算ルール,"Holiday type, effective date, target organization, calculation rule",,,,"MO-ATT-010-API-01-Get Legal Holiday Setting (https://www.notion.so/MO-ATT-010-API-01-Get-Legal-Holiday-Setting-36bf02c407dd80da900ef34e2352e389?pvs=21), MO-ATT-010-API-02-Update Legal Holiday Setting (https://www.notion.so/MO-ATT-010-API-02-Update-Legal-Holiday-Setting-36bf02c407dd80db8f45c0e3a197fd47?pvs=21)"
シフト参照,契約・スタッフ別シフト情報を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-020,Shift Reference,Xem shift của contract/staff.,/moto/attendance/shifts,シフト日、シフト区分、スタッフ、就業場所,"Shift date, shift type, assigned staff, workplace",,,,MO-ATT-020-API-01-Get Shift Reference (https://www.notion.so/MO-ATT-020-API-01-Get-Shift-Reference-36bf02c407dd800f9118efa0773f27aa?pvs=21)
予定参照,勤務予定情報を参照する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-021,Schedule Reference,Xem work schedules/planned attendance.,/moto/attendance/schedules,予定日、予定時間、対象契約,"Schedule date, planned hours, assigned contract",,,,MO-ATT-021-API-01-Get Schedule Reference (https://www.notion.so/MO-ATT-021-API-01-Get-Schedule-Reference-36bf02c407dd806d9b8fec589db8e503?pvs=21)
日々勤怠DL,日次勤怠データを出力する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-022,Daily Attendance Export,Export daily attendance report.,/moto/attendance/export/daily,出力条件、対象期間、出力履歴,"Export condition, target period, export history",,,,MO-ATT-022-API-01-Export Daily Attendance Export (https://www.notion.so/MO-ATT-022-API-01-Export-Daily-Attendance-Export-36bf02c407dd803785adf18f76be6a8f?pvs=21)
勤怠集計DL,月次勤怠集計データを出力する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-023,Monthly Attendance Summary Export,Export monthly attendance summary.,/moto/attendance/export/summary,月間労働時間、残業集計、勤怠合計,"Monthly hours, overtime summary, attendance totals",,,,MO-ATT-023-API-01-Export Monthly Attendance Summary Export (https://www.notion.so/MO-ATT-023-API-01-Export-Monthly-Attendance-Summary-Export-36bf02c407dd804582d9f79d571bd6ed?pvs=21)
締め承認済勤怠DL,締め承認済み勤怠データを出力する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-024,Approved Attendance Export,Export approved/closed attendance records.,/moto/attendance/export/approved,承認済勤怠、締め月、承認状態,"Approved attendance records, closing month, approval status",,,,MO-ATT-024-API-01-Export Approved Attendance Export (https://www.notion.so/MO-ATT-024-API-01-Export-Approved-Attendance-Export-36bf02c407dd8087912ec1f1ff3f0453?pvs=21)
勤怠承認者選択,勤怠集計の承認者を選択する。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-025,Select Attendance Approver,Chọn người phê duyệt tổng kết điểm danh,/moto/attendance/approver,勤怠集計の承認者,Select Attendance Approver,,,,
勤怠集計承認者の確定,勤怠集計の承認者になることを確認する。 ,Not started,MOTO Portal,派遣元ポータル,MO-ATT-026,Confirm Attendance Approver,Xác nhận trở thành người phê duyệt tổng kết điểm danh,/moto/attendance/approver/confirm,勤怠集計承認者の確定,Confirm become Approver,,,,
特別条項適用申請詳細,申請された特別条項の適用内容や、現在の承認ステータスを詳細に確認する画面です。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-027,Chi tiết yêu cầu điều khoản đặc biệt,Chi tiết yêu cầu điều khoản đặc biệt,/moto/attendance/special-clause/:id,<JP>,Chi tiết yêu cầu điều khoản đặc biệt,,,,
特別条項適用申請承認,申請された特別条項の適用内容を審査し、承認または却下を行う画面です。,Not started,MOTO Portal,派遣元ポータル,MO-ATT-028,Yêu cầu điều khoản đặc biệt Approval,Approve/reject attendance.,/moto/attendance/special-clause/:id/approve,<JP>,Phê duyệt Yêu cầu điều khoản đặc biệt,,,,
ログイン,アカウント・パスワードによるログインを行う。ロック制御・セッション管理対応。,Not started,MOTO Portal,派遣元ポータル,MO-AUTH-001,Login,Đăng nhập hệ thống bằng account/password; hỗ trợ lock control và remember session.,/moto/login,ログインID、パスワード、エラーメッセージ、ログイン保持,"Login ID, password, login error message, remember login flag",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,MO-AUTH-001-API-01-Login (https://www.notion.so/MO-AUTH-001-API-01-Login-36bf02c407dd80cfaf56e04d270c9dd4?pvs=21)
ログアウト,システムからログアウトし、セッションを破棄する。,Not started,MOTO Portal,派遣元ポータル,MO-AUTH-002,Logout,Logout khỏi hệ thống và clear session/token.,/moto/logout,ログインユーザー、ログアウト日時,"Login user, logout timestamp",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,MO-AUTH-002-API-01-Logout (https://www.notion.so/MO-AUTH-002-API-01-Logout-36bf02c407dd8089a8def6a4daf1baf2?pvs=21)
パスワード変更,ログインユーザーのパスワードを変更する。,Not started,MOTO Portal,派遣元ポータル,MO-AUTH-003,Change Password,Đổi password user hiện tại.,/moto/change-password,現在パスワード、新パスワード、パスワードポリシー,"Current password, new password, password policy message","ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",,,MO-AUTH-003-API-01-Change Password (https://www.notion.so/MO-AUTH-003-API-01-Change-Password-36bf02c407dd80808f91eda511cb4382?pvs=21)
パスワード初期化,管理者がユーザー・スタッフのパスワードを初期化する。,Not started,MOTO Portal,派遣元ポータル,MO-AUTH-004,Password Reset,Admin reset password cho user/staff.,/moto/password-reset,対象ユーザー、初期化結果、実行日時,"Target user, reset result, reset datetime",テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21),,,"MO-AUTH-004-API-01-Request Password Reset (https://www.notion.so/MO-AUTH-004-API-01-Request-Password-Reset-36bf02c407dd803f9e2acfb1fec88654?pvs=21), MO-AUTH-004-API-02-Confirm Password Reset (https://www.notion.so/MO-AUTH-004-API-02-Confirm-Password-Reset-36bf02c407dd80f3b6dcd1ffa46ef507?pvs=21)"
ロック解除,ログイン失敗でロックされたアカウントを解除する。,Not started,MOTO Portal,派遣元ポータル,MO-AUTH-005,Account Unlock,Unlock account bị lock do login fail.,/moto/account-unlock,ユーザー名、ロック状態、失敗回数,"User name, lock status, failed login count",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,MO-AUTH-005-API-01-Login (https://www.notion.so/MO-AUTH-005-API-01-Login-36bf02c407dd807ca968f2473e4cebb0?pvs=21)
