System,Menu,API ID,API Name,Endpoint,Method,Related Tables,Description,説明,Screen list
Platform SaaS Admin,Dashboard,PA-DB-003-API-01-Health check,Health check,/api/v1/admin/dashboard/system-health,GET,central_db.[TBD: system_setting / operation_setting],Kiểm tra trạng thái hoạt động của hệ thống.,システムの稼働状態を確認する。,システム監視ダッシュボード (https://www.notion.so/362f02c407dd807787ceed8f8c0dbfc7?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-001-API-01-Moto tenant list,Moto tenant list,/api/v1/admin/moto-tenants,GET,central_db.mst_tenant,"Lấy danh sách tenant MOTO, hỗ trợ tìm kiếm/lọc.",MOTOテナント一覧を取得し、検索・絞り込みに利用する。,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-001-API-02-Export moto tenant list,Export moto tenant list,/api/v1/admin/moto-tenants/export,GET,central_db.mst_tenant,Xuất danh sách tenant MOTO ra file.,MOTOテナント一覧をファイル出力する。,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-002-API-01-Moto tenant detail,Moto tenant detail,/api/v1/admin/moto-tenants/{id},GET,central_db.mst_tenant,Lấy chi tiết tenant MOTO theo ID.,ID指定でMOTOテナント詳細を取得する。,派遣元テナント詳細 (https://www.notion.so/362f02c407dd8001be53f6f4f661bd75?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-003-API-01-Create moto tenant,Create moto tenant,/api/v1/admin/moto-tenants,POST,central_db.mst_tenant,Tạo mới tenant MOTO.,MOTOテナントを新規作成する。,派遣元テナント作成 (https://www.notion.so/362f02c407dd8042b447e5a078902d6e?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-004-API-01-Update moto tenant,Update moto tenant,/api/v1/admin/moto-tenants/{id},PATCH,central_db.mst_tenant,Cập nhật tenant MOTO.,MOTOテナントを更新する。,派遣元テナント編集 (https://www.notion.so/362f02c407dd80b684f8eccc219e9bb0?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-005-API-01-Suspend moto tenant,Suspend moto tenant,/api/v1/admin/moto-tenants/{id}/suspend,PATCH,central_db.mst_tenant,Tạm ngưng tenant MOTO.,MOTOテナントを停止する。,派遣元テナント停止 (https://www.notion.so/362f02c407dd805dbe70e89b68adcfd8?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-006-API-01-Restore moto tenant,Restore moto tenant,/api/v1/admin/moto-tenants/{id}/restore,PATCH,central_db.mst_tenant,Khôi phục tenant MOTO.,MOTOテナントを復旧する。,派遣元テナント復旧 (https://www.notion.so/362f02c407dd80af8f89c3f5c8944c33?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-007-API-01-Saki tenant list,Saki tenant list,/api/v1/admin/saki-tenants,GET,central_db.mst_tenant,"Lấy danh sách tenant SAKI, hỗ trợ tìm kiếm/lọc.",SAKIテナント一覧を取得し、検索・絞り込みに利用する。,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21)
Platform SaaS Admin,Tenant Management,PA-TEN-007-API-02-Export saki tenant list,Export saki tenant list,/api/v1/admin/saki-tenants/export,GET,central_db.mst_tenant,Xuất danh sách tenant SAKI ra file.,SAKIテナント一覧をファイル出力する。,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21)
