API ID,API Name,Description,Endpoint,Menu,Method,Related Tables,Screen list,System,説明
PA-DB-003-API-01-Health check,Health check,Kiểm tra trạng thái hoạt động của hệ thống.,/api/v1/admin/dashboard/system-health,Dashboard,GET,central_db.[TBD: system_setting / operation_setting],システム監視ダッシュボード (https://www.notion.so/362f02c407dd807787ceed8f8c0dbfc7?pvs=21),Platform SaaS Admin,システムの稼働状態を確認する。
PA-TEN-001-API-01-Moto tenant list,Moto tenant list,"Lấy danh sách tenant MOTO, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/moto-tenants,Tenant Management,GET,central_db.mst_tenant,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21),Platform SaaS Admin,MOTOテナント一覧を取得し、検索・絞り込みに利用する。
PA-TEN-002-API-01-Moto tenant detail,Moto tenant detail,Lấy chi tiết tenant MOTO theo ID.,/api/v1/admin/moto-tenants/{id},Tenant Management,GET,central_db.mst_tenant,派遣元テナント詳細 (https://www.notion.so/362f02c407dd8001be53f6f4f661bd75?pvs=21),Platform SaaS Admin,ID指定でMOTOテナント詳細を取得する。
PA-TEN-003-API-01-Create moto tenant,Create moto tenant,Tạo mới tenant MOTO.,/api/v1/admin/moto-tenants,Tenant Management,POST,central_db.mst_tenant,派遣元テナント作成 (https://www.notion.so/362f02c407dd8042b447e5a078902d6e?pvs=21),Platform SaaS Admin,MOTOテナントを新規作成する。
PA-TEN-001-API-02-Export moto tenant list,Export moto tenant list,Xuất danh sách tenant MOTO ra file.,/api/v1/admin/moto-tenants/export,Tenant Management,GET,central_db.mst_tenant,派遣元テナント一覧 (https://www.notion.so/362f02c407dd805ab517c72304647945?pvs=21),Platform SaaS Admin,MOTOテナント一覧をファイル出力する。
PA-TEN-004-API-01-Update moto tenant,Update moto tenant,Cập nhật tenant MOTO.,/api/v1/admin/moto-tenants/{id},Tenant Management,PATCH,central_db.mst_tenant,派遣元テナント編集 (https://www.notion.so/362f02c407dd80b684f8eccc219e9bb0?pvs=21),Platform SaaS Admin,MOTOテナントを更新する。
PA-TEN-005-API-01-Suspend moto tenant,Suspend moto tenant,Tạm ngưng tenant MOTO.,/api/v1/admin/moto-tenants/{id}/suspend,Tenant Management,PATCH,central_db.mst_tenant,派遣元テナント停止 (https://www.notion.so/362f02c407dd805dbe70e89b68adcfd8?pvs=21),Platform SaaS Admin,MOTOテナントを停止する。
PA-TEN-006-API-01-Restore moto tenant,Restore moto tenant,Khôi phục tenant MOTO.,/api/v1/admin/moto-tenants/{id}/restore,Tenant Management,PATCH,central_db.mst_tenant,派遣元テナント復旧 (https://www.notion.so/362f02c407dd80af8f89c3f5c8944c33?pvs=21),Platform SaaS Admin,MOTOテナントを復旧する。
PA-TEN-007-API-01-Saki tenant list,Saki tenant list,"Lấy danh sách tenant SAKI, hỗ trợ tìm kiếm/lọc.",/api/v1/admin/saki-tenants,Tenant Management,GET,central_db.mst_tenant,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21),Platform SaaS Admin,SAKIテナント一覧を取得し、検索・絞り込みに利用する。
PA-TEN-008-API-01-Saki tenant detail,Saki tenant detail,Lấy chi tiết tenant SAKI theo ID.,/api/v1/admin/saki-tenants/{id},Tenant Management,GET,central_db.mst_tenant,派遣先テナント詳細 (https://www.notion.so/362f02c407dd8013b8dbd9efee214180?pvs=21),Platform SaaS Admin,ID指定でSAKIテナント詳細を取得する。
PA-TEN-007-API-02-Export saki tenant list,Export saki tenant list,Xuất danh sách tenant SAKI ra file.,/api/v1/admin/saki-tenants/export,Tenant Management,GET,central_db.mst_tenant,派遣先テナント一覧 (https://www.notion.so/362f02c407dd802f9b47f81d86183d6a?pvs=21),Platform SaaS Admin,SAKIテナント一覧をファイル出力する。
PA-TEN-009-API-01-Create saki tenant,Create saki tenant,Tạo mới tenant SAKI.,/api/v1/admin/saki-tenants,Tenant Management,POST,central_db.mst_tenant,派遣先テナント作成 (https://www.notion.so/362f02c407dd80a39f14c600c6259c6a?pvs=21),Platform SaaS Admin,SAKIテナントを新規作成する。
PA-TEN-010-API-01-Update saki tenant,Update saki tenant,Cập nhật tenant SAKI.,/api/v1/admin/saki-tenants/{id},Tenant Management,PUT,central_db.mst_tenant,派遣先テナント編集 (https://www.notion.so/362f02c407dd8095b4d2fc09cdf6dbe9?pvs=21),Platform SaaS Admin,SAKIテナントを更新する。
PA-TEN-011-API-01-Suspend saki tenant,Suspend saki tenant,Tạm ngưng tenant SAKI.,/api/v1/admin/saki-tenants/{id}/suspend,Tenant Management,PATCH,central_db.mst_tenant,派遣先テナント停止 (https://www.notion.so/362f02c407dd80ce8f99d2c7f1b293f8?pvs=21),Platform SaaS Admin,SAKIテナントを停止する。
PA-TEN-012-API-01-Restore saki tenant,Restore saki tenant,Khôi phục tenant SAKI.,/api/v1/admin/saki-tenants/{id}/restore,Tenant Management,PATCH,central_db.mst_tenant,派遣先テナント復旧 (https://www.notion.so/362f02c407dd802fab27cd93c2b2e839?pvs=21),Platform SaaS Admin,SAKIテナントを復旧する。
PA-TEN-013-API-01-Tenant feature setting,Tenant feature setting,Cập nhật Tenant feature setting.,/api/v1/admin/tenants/{id}/features,Tenant Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_feature / feature_grant]",テナント機能設定 (https://www.notion.so/362f02c407dd80719186e061162dfc81?pvs=21),Platform SaaS Admin,Tenant feature settingを更新する。
PA-TEN-014-API-01-Tenant Domain Setting,Tenant Domain Setting,Cập nhật Tenant Domain Setting.,/api/v1/admin/tenants/{id}/domains,Tenant Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_domain]",ドメイン設定 (https://www.notion.so/362f02c407dd804cb04be5e33b51f74e?pvs=21),Platform SaaS Admin,Tenant Domain Settingを更新する。
PA-TEN-015-API-01-Tenant Branding Setting,Tenant Branding Setting,Cập nhật Tenant Branding Setting.,/api/v1/admin/tenants/{id}/branding,Tenant Management,PATCH,"central_db.mst_tenant, central_db.[TBD: tenant_branding]",テナントブランド設定 (https://www.notion.so/362f02c407dd80689f50cdd51ad8b969?pvs=21),Platform SaaS Admin,Tenant Branding Settingを更新する。
PA-TEN-016-API-01-Tenant Usage Dashboard,Tenant Usage Dashboard,Lấy tổng quan/trạng thái Tenant Usage Dashboard.,/api/v1/admin/tenants/{id}/usage,Tenant Management,GET,"central_db.mst_tenant, central_db.[TBD: system_setting / operation_setting], central_db.[TBD: platform_user / platform_role], central_db.[TBD: tenant_usage_metric]",テナント利用状況 (https://www.notion.so/362f02c407dd80a68231e93f0e3962f2?pvs=21),Platform SaaS Admin,Tenant Usage Dashboardの概要・状態を取得する。
