Name,Action,Action Description VI,Action JP,Data Scope,Module,Module Code,No,Route,Screen EN Fixed,Screen ID,Screen JP,Screen Key,Screen VN,System,System Code,System JP
moto.attendance.attendance_dashboard.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,1,/moto/attendance,Attendance Dashboard,MO-ATT-001,勤怠TOP,attendance_dashboard,Dashboard attendance tổng hợp,MOTO Portal,moto,派遣元ポータル
moto.attendance.attendance_search.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,2,/moto/attendance/search,Attendance Search,MO-ATT-002,勤怠検索,attendance_search,Search attendance,MOTO Portal,moto,派遣元ポータル
moto.attendance.attendance_detail.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,3,/moto/attendance/:id,Attendance Detail,MO-ATT-003,勤怠詳細,attendance_detail,Xem chi tiết attendance,MOTO Portal,moto,派遣元ポータル
moto.attendance.proxy_attendance.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,4,/moto/attendance/proxy,Proxy Attendance,MO-ATT-004,代理申請,proxy_attendance,Nhập attendance thay staff,MOTO Portal,moto,派遣元ポータル
moto.attendance.proxy_attendance.submit,submit,Submit/gửi workflow,提出,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,5,/moto/attendance/proxy,Proxy Attendance,MO-ATT-004,代理申請,proxy_attendance,Nhập attendance thay staff,MOTO Portal,moto,派遣元ポータル
moto.attendance.pending_attendance_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,6,/moto/attendance/pending,Pending Attendance List,MO-ATT-005,未申請一覧,pending_attendance_list,"• Danh sách attendance chưa submit
  • tính năng nhắc staffing qua email, staff app notification khi staff ko đăng ký giờ làm",MOTO Portal,moto,派遣元ポータル
moto.attendance.pending_attendance_list.remind,remind,Gửi nhắc nhở/liên lạc,督促/連絡,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,7,/moto/attendance/pending,Pending Attendance List,MO-ATT-005,未申請一覧,pending_attendance_list,"• Danh sách attendance chưa submit
  • tính năng nhắc staffing qua email, staff app notification khi staff ko đăng ký giờ làm",MOTO Portal,moto,派遣元ポータル
moto.attendance.pending_approval_list.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,8,/moto/attendance/approval-pending,Pending Approval List,MO-ATT-006,未承認一覧,pending_approval_list,"• Danh sách attendance chưa approve
  • 締め申請や締め承認が完了していないスタッフを検索し、スタッフや承認者にメールで連絡するなどのフォローを行います。",MOTO Portal,moto,派遣元ポータル
moto.attendance.pending_approval_list.remind,remind,Gửi nhắc nhở/liên lạc,督促/連絡,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,9,/moto/attendance/approval-pending,Pending Approval List,MO-ATT-006,未承認一覧,pending_approval_list,"• Danh sách attendance chưa approve
  • 締め申請や締め承認が完了していないスタッフを検索し、スタッフや承認者にメールで連絡するなどのフォローを行います。",MOTO Portal,moto,派遣元ポータル
moto.attendance.attendance_export.view,view,Xem màn hình/dữ liệu,参照,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,10,/moto/attendance/download,Attendance Export,MO-ATT-007,勤怠/集計DL,attendance_export,"Export attendance, Export monthly summary",MOTO Portal,moto,派遣元ポータル
moto.attendance.attendance_export.download,download,Download file/PDF,ダウンロード,ALL/BRANCH/ASSIGNED_ONLY,Attendance Management,attendance,11,/moto/attendance/download,Attendance Export,MO-ATT-007,勤怠/集計DL,attendance_export,"Export attendance, Export monthly summary",MOTO Portal,moto,派遣元ポータル
